Key,English,Czech
LevelEditor.PlayerSettings.PlayerSettings,Player settings,Nastavení hráčů
LevelEditor.PlayerSettings.Team,Team,Tým
LevelEditor.PlayerSettings.Money,Money,Peníze
LevelEditor.PlayerSettings.Research,Research,Výzkumné body
LevelEditor.PlayerSettings.Ok,Ok,Ok
,,
LevelEditor.LevelInfo.LevelProperties,Level properties,Vlastnosti levelu
LevelEditor.LevelInfo.TerrainSize,Terrain size,Velikost terénu
LevelEditor.LevelInfo.Icon,Icon,Ikona
LevelEditor.LevelInfo.Description,Description,Popis
LevelEditor.LevelInfo.Load,Load,Načíst
LevelEditor.LevelInfo.Players,Players,Hráči
,,
LevelEditor.NewLevel.Confirm.Question,Are you sure to create new level?,Jste si jist s vytvořením nového levelu?
LevelEditor.NewLevel.Confirm.Warning,"! Don't forget to save your work, before creating new level","! Nezapomeňte si uložit svoji práci, před vytvořením nového levelu"
LevelEditor.NewLevel.Confirm.Cancel,Cancel,Zrušit
LevelEditor.NewLevel.Confirm.Create,Create new,Vytvořit nový
,,
LevelEditor.LoadLevel.LevelList,Level list,Levelový list
LevelEditor.LoadLevel.Cancel,Cancel,Zrušit
LevelEditor.LoadLevel.OpenFileExplorer,Open file explorer,Otevřít průzkumník
LevelEditor.LoadLevel.Load,Load,Načíst
,,
LevelEditor.SaveLevel.Title,Save summary,Uložení / shrnutí
LevelEditor.SaveLevel.LevelName,Level name,Název levelu
LevelEditor.SaveLevel.CalculatedDifficulty,Calculated difficulty,Vypočítaná obtížnost
LevelEditor.SaveLevel.OutOfBoundsObjects,Out of bounds objects,Objektů mimo hranice
LevelEditor.SaveLevel.UnderWaterObjects,Objects under water,Objektů pod vodou
LevelEditor.SaveLevel.FloatingObjects,Floating objects,Levitující objekty
LevelEditor.SaveLevel.Save,Save,Uložit
,,
LevelEditor.ExitEditor.Question,Are you sure to exit? (Also don't forget to save your changes),Chcete opravdu odejít? (Nezapomeňtě uložit svoji práci)
